content,label,suggested_label,reviewed_label,notes
订的是商务豪华标准间（带阳台），因为是10/1到的，比较贵，620元，到了后，店家主动给调高乐标准，给的是单床商务套间，2个房间很大，床铺干净舒服，有沙发，还有2个液晶电视，浴室也很大，有个大按摩浴缸，水也很热，上网也很快。总之，黄金周期间，这个配置，性价比还是比较高的。位置比较稍偏点，但是自驾的话，不是问题。门口有条溪水，晚上枕着溪流声入睡，凉爽。总之，虽然整体是2-3星的样子，但是套间的配置还是比较高的。如果平时去，价格没那么高，应该不错。补充点评 2007年10月7日 ： 对了，还可以免费打长途。便于定下一个浏览点的酒店。不过，不嫌麻烦的话，以后有人自驾去庐山，可以到那里后，自己开车找宾馆，进行比较，也很方便的，因为各种档次的宾馆很多的。如果不是自驾的话，还是通过ctrip订房吧。,positive,neutral,,
整体感觉还可以吧，价格方面在厦门还算可以，叫了餐服，服务态度还不错，房间感觉不是太好，用的洁具都很一般,positive,neutral,,
128g内存完全够用了，音质屏幕确实不错，但是续航一般般。,positive,neutral,,
整体还是不错，都挺新鲜的，特别是苹果和菠萝，很新鲜，味道也可以，但是车厘子就不是特别新鲜，味道也一般，应该放有一小段时间了，不过也理解吧，毕竟这种比较难保存,positive,neutral,,
阳台观景不错，可惜房间内设施很一般。没有地毯只是地砖铺设，床也比较硬。尤其是厕所，散发了一个晚上的味道。。。感觉只有三星的水平，不过酒店前台的寄存服务还可以。,positive,neutral,,
春节特价入住套房，含早/晚餐，服务非常到位，只是由于酒店有些老，但是设施还算不错！只不过这种春节价位希望酒店能够实现春节特价周末常态化，这样会吸引大部分旅客！,positive,neutral,,
很好的平板，速度还可以，清晰度也还行，看视频不卡！玩游戏一般般！虽然没有光线感应器，合上皮套不能自动熄灭，但是这个价格在这里摆着，还要啥自行车啊！有GPS，16G内存有点小了，需要加个储存卡，总体来说推荐购买！,positive,neutral,,
这是第二次入住了，因为出差需要，在安庆，确实也没有其他地方可住，酒店整体环境优雅，房间设施一般，不过卫生还可以，每次入住后，习惯检查一下床面是否整洁，近期出差，入住的酒店中，只有这一家未发现床上有残留的头发等异物。,positive,neutral,,
酒店位置不错，房间也比较干净。酒店服务员的办理速度还比较快，而且态度不错，主动告诉我们到各旅游点的公交线路。早餐一般，但是老公说还可以。在这里吃了一顿晚饭，也是一般。不过这里到洛阳的各个大景点的公交非常方便，就在酒店门口，出门就是。不错,positive,neutral,,
应该算是比较老的酒店了，但是整体的感觉不错，在三星的酒店中应该算是比较好的了，我住的是商务大床房，房间感觉还是挺宽敞的，早餐算是一般，不过前台的服务小姐确实很热心，感觉真的不错！！！顺便提一下，就是感觉房间的空调制冷效果好像不是很好，希望能改进一下！,positive,neutral,,
"酒店前面就是温泉公园, 环境还算ok.我下午3点左右到酒店, 在前台等check-in时等了十多分钟才有服务员替我办手续. 不过, 退房时就很快.房间也算整洁, 但洗手间的毛巾有一点点油烟味似的.自助早餐只是一般.最喜欢的是晚上大堂有人弹钢琴, 很好听.",positive,neutral,,
推荐！！地理位置一走出来就是尖沙咀热闹地方，也就5分钟，性价比很高！一条路上还有君怡那个宾馆，但是好像君怡比它贵点，其实走出来也没差多少步，肯定这个核算！房间小一点，不过觉得还不错，意外还可以看到远方的海景，我住21楼，景色舒服！总体上来说不错！只是周围2个便利店没有什么花头。。。。。,positive,neutral,,
酒店还算不错，整体比较好。有两个缺点，1、网速不知为什么很慢，如果是比较大的文件就总发不出去，就更不用说下电影了。2、电视机总有些频道有干扰，反正我住宿期间没怎么看电视。以上两个缺点，找了服务员，也没解决。服务员只是说，大家都是一样的，统一的，也没有解决办法。不过因为工作方便，我下次还是会住在这家酒店的。,positive,neutral,,
过年前看了三部曲中的前两部，感觉也只是一般，仅仅是冲着想看完三部曲中的最后一部才买的。但是，开始看了之后觉得这是三套书里面写的最好的，而且也是看过的小说里面相当不错的。人物刻画的比较丰满，情节也很跌宕。结局也不算不好，每个人都能做他们想做的事情。不过作者塑造的女主形象倒是没什么大的变化，都是没心机，不会去害人的，和之前流行的宫廷小说有很大的不同，这个好。,positive,neutral,,
住的是大床房，和先前筒子们介绍的情况差不多，会免费升级一下房间，有两瓶免费的可乐送。对该酒店服务总体评价也就中规中矩四个字吧，不过，的确评到五星是有点过头了。四星差不多了。当然，性价比而言，还算可以，毕竟花的不是标准五星的价。对该店算是有意见的话，那就是实在老了点，虽然看得出花过点功夫重新装修，但偶还是不够喜欢。另外，早餐也算基本满意吧，品种数量还可以，味道so so 啦。软件方面还可以，要地图有免费地图送上门，草鞋托也算有点小意思，基本功还算到位。,positive,neutral,,
住了一个晚上的大床房，总体感觉不好不坏。房间是超级大，还有吧台，不过对我来说没什么用处，装修感觉不够轻松。刚进房间放下包就有小姐打电话来问需不需要按摩服务，让人怀疑是不是酒店有什么猫腻。卫生间洗澡水超大，但是洗浴用品比较少，不过有一大堆乱七八糟的东西像什么安全套，一次性内裤，祙子等等要收费。地理位置倒还不错，交通还算方面。还有一点，早餐比较一般，而且位置太少了，等个位置吃早饭等了好久。补充点评 2008年7月13日 ： 忘记说了，房间内打长途竟然还要钱，而且宽带上网巨慢。,positive,neutral,,
2007年8月17日晚上回程路上临时通过电话预定， 酒店位于淮安楚州周总理纪念馆旁边， 京沪高速下来很方便。但是距离楚州市中心比较远(不过楚州也不大）。该酒店应该是电力下属的三产吧， 服务一般的很， 和三星的标准有点距离，号称2004年重新装修过， 估计入住的人不多， 房间还算整洁，但是比较郁闷的是床上的被单不是很干净， 不知道是没有洗干净还是没有换过，早上天亮看看真的如此。这个是绝对不应该的。如果有时间还是选择其他的酒店吧，半夜看的不是很清楚， 附近有一个四星的酒店正好位于湖边， 景色应该不错。,positive,neutral,,
住到现在最差的酒店，没有只一。唯一好的就是有免费的来往浦东机场的班车，不过车很破很旧，然后接送师傅态度很差，不过既然是免费也就算了。然而，酒店大厅装修还可以，蛮高大上的，可是房间不要太差。进房间的时候有一股异味，床单感觉是没有换过的一样，地毯很脏，而且地上还有黑色的虫子在爬。浴室的墙壁是完全无法直视的，下水道口感觉很脏，马桶也没有洗干净的感觉。还有就是在酒店的餐厅吃了一个饭，价格总体偏高，味道很是一般。第二天早上的早餐也很垃圾。总而言之：这种酒店还卖300多一个晚上性价比顶多100一个晚上。反正就是完！全！不！推！荐！大！家！去！,negative,neutral,,
此次去三亚，共住了3家宾馆，第一家是三亚湾的普通的，感觉还算干净，只是没热水，而且进房间的时候发现了一只壁虎，吓的不轻。第二天住提天域，虽然感觉没有喜来登的好，但是确是此次三亚旅游入住的三家中条件最好的，只是早餐太贵了，又没东西吃.珠江在大东海，所以俄罗斯人特别多，而且当地人去海滩的也多，感觉好像太嘈杂了。我们后来改为海景房，看海景还不错，阳台太小了，简直是可怜，房间还可以，吃的也是恶贵，午餐一个蔬菜、一个点心、一个菜泡饭，结帐要100多，晕倒。还有要提醒的是如果到春园那边吃海鲜，需要有耐心，我们三个人，点了4-5个菜，结果等了2小时，才把所有的菜上完。（还是老板娘亲自出马催，才在2小时之内吃好）,positive,neutral,,
通过携程预定后，到达酒店时，前台居然说没有预定成功，而且说该房型没有了，只有更高价位的房间，而且如果不马上确定也没了，打电话到携程沟通，10分钟后终于有了房间，刚才不是说没有了么！！！气死了，先不理他，后来和携程投诉，态度比较满意，答应再次入住给予免费升级到更高一级的房间，可是第二次去的时候竟然没有任何区别，原来该酒店只有这一种房间，只是便宜的房间数量少，诶，不过地理位置还算凑合吧，门口有几个停车位，就在三环边上，不过离中关村可就远了，想到中关村办事的我看见就算了，离北京电视台和北外，中国青年政治学院，北京理工大学，中央民族大学很近，去这些地方办事的，住在这里很方便。价格还算可以，最近搞活动吧，160一间，不过数量很少！房间硬件还说的过去，不过我住的时候，床上居然还有几根头发，算了，也不算什么大问题。总体感觉还凑合吧，性价比不错,negative,neutral,,
临海木屋住了两晚，写点自己的感受吧。蜈支洲岛很不错，海水清澈，沙滩白细，景色很美，只是不适合游泳。唯一开辟的游泳区域很多珊瑚，扎脚，我就被扎破了。岛上有几个游泳池，倒还算不错，可以一边游泳一边欣赏海景。临海木屋中6688号的景色是最好，如果可以建议预定这间房屋。木屋中设施不错，虽然没有酒店豪华，但是面积不小，而且还算是干净。晚上听着青蛙、小虫、壁虎的鸣叫，感觉很不错。岛上吃的东西比较贵，味道算是一般。西餐厅可以晚上去，一边吃饭一边看夕阳，非常有感觉。中餐厅味道稍微好一点，但是价格不便宜，两个人怎么也要100块钱。建议住在岛上，可以在游客还没有到来的时候感受一下岛上的悠闲生活。我去的时候是淡季，晚上好像是我们两个人的小岛一样。岛上开发不错，服务也很热情，海上项目中觉得摩托艇最刺激，潜水没有参与，但是听说没什么意思。其实在临海木屋下面，也就是岛主别墅对面有一小片沙滩，那里海水清澈，戴上游泳镜就可以潜水，也可以看到小鱼和珊瑚什么的。,positive,neutral,,
从广州第四次来仙湖。仙湖不仅环境好，还可以随意停车。（主楼的停车场有保安看守）广州来这里几乎全程高速。渔人码头物美价廉，我儿子非常喜欢吃那里13元的扬州炒饭。而且餐厅外有停车场，并设有棚帐，不怕烈日炎炎。只是自助早餐一般般。总体来说，真不错！补充点评 2008年8月4日 ： 我们入住的是378元的悠闲高级房套餐，住在北楼。,positive,neutral,,
国庆住了几天，总的来说还可以。交通：应该是很方便，紧挨着三环，离光熙门城铁站特近，步行不到10分钟，就是路不好找，城铁附近正施工，携程短信上的地址严重失误，什么城铁站向北十五米，害我找了好几圈，所以最好向路人打听。住房：厕所比较小，但很干净，卫浴也不错“箭牌”，热水很足。室内装修简介明快，就是墙皮该刷了，很多都脱落了，床一般有点硬，能感觉到弹簧，不过我比较喜欢睡硬床。服务：相当一般般。吃饭：附近吃饭地点还是很多的，蟹老宋、全聚德、羊蝎子等等。。,positive,neutral,,
我跟老公是31号入住的c座豪华商务套间。酒店只有a座是新装的，b跟c座都是有点年代的装修。不过房间很大， 跟海只有一条马路之隔。周边的环境也不错。酒店内部设施一般， 但是房间还算干净。洗脸盆下水很慢，浴室的淋浴头有点脏。但跟酒店沟通后有所改进。服务还算周到。住酒店套间的住客都可以去a座享用免费健身。游泳池很干净， 但是水不是恒温。这个季节游泳非常冷。总体来说，性价比还不错， 但是房间内的设施还有装修需要翻新跟改进。推荐几个朋友或是跟家人旅游时居住酒店的套间。,positive,neutral,,
是在2008年4月27日入住的。订这家酒店是因为想在深圳市区待上一天，在携程上看了酒店的介绍，觉得价格还算公道，也是家四星级的酒店，特别是因为是深航和锦江的牌子，才决定定了这家酒店。入住后总体感觉是还可以，但是也有一些地方不是很满意：1。酒店的设施有显陈旧，当然不是古董的那种，只是略显的旧一点点。2。酒店的门童的态度不是特别的令人满意，不会及时地为客户开汽车门。3。酒店的房间靠街道，有一点点吵。以上就是我个人的感觉了。当然，总的来说，还是不错的，性价比高，离机场近，景观不错。,positive,neutral,,
"3月19日入住,共两晚.现在才上来做下点评,呵呵.1,定的是双人床大房,虽然是比较年头多的宾馆,但是整洁程度和环境还算不错了!2,服务人员比较热情,由于自己的充电器宾馆内使用不了.所以半夜的时候要求前台送个旅行充电器过来.但是前三个都不好用,服务生上上下下的跑了四五次!但没有一点厌烦!最后还一再向我表示歉意!很棒!!!3,餐饮方面西餐厅感觉还不错!价格和味道方面还算不错!至于中餐厅感觉一般!菜品没有特色,而且还比较贵!自己一个人一顿饭花了400左右,还没吃饱!4,整体的环境很不错!后面的绿化做的不错,有种幽深雅静的感觉!呵呵",positive,neutral,,
"环境不错，比较安静，停车管理也很好，离开花港观鱼步行15分钟足够。豪华大床间的床不够大，三口之家如果孩子大一点是有点拥挤的。不过整个酒店还算比较中规中矩。客房也干净，服务员也很客气。餐厅不满意，晚餐懒的出去吃就去餐厅，首先是菜单很普通，象小菜馆的菜单，装盆都是大盆，三口之家很浪费，可能是因为酒店为省总工会的工人疗养院兼体检中心，所以菜非常的淡，好像忘记放盐了一样。不建议餐厅用餐。早餐的品种不丰富，早餐很一般。我个人认为住宿是个不错的地方，对于自己开车去，还是不错的选择。吃饭还是走15分钟到花港观鱼门口的“味庄”吧。补充点评 2008年2月15日 ： 楼下说的不错,那个副理确实很能承受。那个顾客确实很不象话，一个说话很恶毒的顾客。",positive,neutral,,
第一次住这里，一下呆了10天。总体而言还不错。房间：按经济类型的酒店来说，房间还可以，设施比较好，有独立的电脑，就是网速比较慢，但是有这个配置已经不错了。就是我住的房间烟味比较大，对于不抽烟的人来说，较为难忍受。值得提一下，我住的奇数号房间这一侧十分安静，这一点值得赞赏。环境：周边交通还比较便利，打车还算方便，吃的地方稍微少了一点。就是周边“鸡”店太多，还好我住在酒店没有一个骚扰电话。服务：不错。打扫及时，只是有一次我希望用自己电脑上网时无法连入酒店宽带，上来一个服务员也不懂怎么弄，少有遗憾。总体而言，久悦是不错的选择，只是以后能不能想办法让房间里的空气更清新一点呢？宾馆反馈 2008年6月29日 ： 很感谢您对我们酒店的肯定，您提出的宝贵意见我们一定会认真改进，为您下次入住提供更好的服务！,positive,neutral,,
1.外型还可以，从大小、做工以及手感来说的话，算是比较不错的，外壳的接合处还比较紧。充电接口保护套比较严实。而且我觉得颜色也还不错，比较大气。屏幕灯光没有采用对眼睛比较刺激的蓝色，而是象西门子一样的琥珀色，比较柔和，长时间眼睛看也不会累。2.短消息功能比较强大，虽然目前小灵通还不能和手机互发短消息，但是就这款机器而言，它的短消息设计的还是不错的，首先，可以存100条收，100条发和10条草稿；其次，在写短信里面，也有不少可圈可点的，按下“#”后，会发现有标点符号、绘文字、常用短语、特殊符号、动画几项，没一项里面都有不少可以选择的，我觉得动画比较有意思，但是目前还不知道它和其它的机器兼不兼容。3.电话本还算可以，有200的容量，相信应付一般的用户足够了，可以分组，包括：家庭、朋友、同事、同学、重要人士、合作伙伴、其他和黑名单，可以为每组设定不同的铃声。4.四方向导航键还不错，在待机下不同方向按有不同的用处，包括已接、未接、以及当前的铃声设定，值得一提的是往左时会有6个比较常用的菜单选项。,positive,neutral,,
"外观:时尚亮丽,黑色很稳重,就算有伤痕也不易看出,厚度合适,我个人认为L6等太薄了,但是容易沾细小灰尘棉丝等东西不太爽屏幕:不太敢恭维,可能摩托一向如此吧,低端都不是很好,看起来有点变色怪怪的,而且太刺眼了使用:使用起来感觉还是很不错的,通话蛮清楚,但是声音开得太大喇叭有点刺耳.待机时间只是接电话用的时间就长一点,因为屏幕是高亮度的,所以常发短信跟玩游戏就不怎么爽了,游戏可玩性不是很强,铃声不是很好听(前提我的是水货,我不知道行货游戏跟铃声是什么版本)发短信还算可以,但是有时候想删除一个字时容易按成挂断键就得从来,所以得很小心,还有一点就是有时候两条短信它不提示会直接发出去,有可能你只超了一两个字,所以这也不是很爽,浏览器蛮方便好用,但是不支持数据线就有点说不过去了,可能为了外观好看,但是配了摄像头(虽然像素不高,好有好过无)却没有数据线那怎么传,永远留在手机上吗,蓝牙红外都没有,还有机子用起来反应稍为有点慢,内存有点过小,但是很超值这台机子,如果你在意外观,功能不是很在意,只是用来接电话发短信,建议你买台水货,才五百多块很超值的,我所看到想到就是这么多,有不对的地方欢迎批评指正!",positive,neutral,,
房间一般，设施还可以，环境吗只能说还行，早餐还算丰富，在自贡嘛也没什么好选的了。,positive,neutral,,
整体还行吧？裤子质量还可以买个看了看也不会怎么褪色，不怎么掉毛。给好评，给5分好评,positive,neutral,,
机场有免费接机至酒店，适合中转过夜乘客，设施等非常一般般，只是过一夜可以的。,negative,neutral,,
快递速度一般，晚了一天，不过还算快啦！包装很好，没有任何问题，总体评价不错！,positive,neutral,,
显卡，CPU对于主流游戏来说已经够用了；电脑整体做工也还算优良，散热挺好的。,positive,neutral,,
还可以吧！送给妈妈追剧用的。只是，只是裸机难免心里有些难过。不过我相信咱们华为的质量。,positive,neutral,,
还算不错。要说是4星，设施还差点。不过，泰安酒店普遍不好，这个也算凑合了。,positive,neutral,,
包装好，送货快，没有坏果，但是味道一般吧，一分价钱一分货，总的来说还可以,positive,neutral,,
1.体积稍大； 2.电池待机时间一般； 3.输入还算方便，不过缺乏了对T9输入法的支持；,negative,neutral,,
近鹅岭公园是个很大的优势，算是闹中取静吧，但是作为豪生管理却显得员工培训一般般，亟待改进,positive,neutral,,
还可以，有挑选过出来的，但不是每一个都那样的好口感，有两三个一般般。,positive,neutral,,
一般吧，这个价位买的还算凑合吧，华为的东西他现在越做越也是约好了。,positive,neutral,,
环境安静，空气好，交通也还算方便，但是房间旧了点，早上自助餐一般,positive,neutral,,
整体环境还可以，离亚龙湾比较近。但近期一直在装修，一楼凌乱，给人感觉不太舒服。价格偏高。服务一般。,positive,neutral,,
行政房间太小。不过还算可以。所谓湖景房，实际上看不见湖的。离西湖起步价。也不算近。其余的还可以吧。,positive,neutral,,
一切一般般，只是在机场附近过夜，不如浦东机场里面的那个宾馆。,negative,neutral,,
一般般，支持国货这个价位值了，不过好像没了双击屏幕唤醒功能。,positive,neutral,,
这本书的版本一般，不敢贸然说是盗版的，但是....貌似.....不过，看看罢了，这书，也没什么收藏的,negative,neutral,,
这条还可以，一般般 这条还可以，一般般 这条还可以，一般般,negative,neutral,,
"原著还可以,可译成中文后就只不过是一套一般的书了;不知道为什么那么多人说好,我也是上了这些评论的当才买的.",negative,neutral,,
服务非常好，环境也比较舒适，只是酒店的餐饮方面一般般。,positive,neutral,,
"酒店的整体感觉一般,但是前台的小姐和先生很热情.但是酒店的餐厅只接受现金,很不方便.希望能把帐转入房间号中.",positive,neutral,,
距离市区比较远，房间还算干净，设施一般，但是对于这个价格，在天津还是不时很实惠的，早餐价格高，而且食物不好吃,positive,neutral,,
比超市便宜，送货及时，味道可以，个头一般，整体凑合！,positive,neutral,,
非常一般，只是位置比较方便。为了赶飞机凑合一下无所谓,negative,neutral,,
物流速度就不用说了，屏显效果很棒，给小孩儿用的，应该够用，长宽比例感觉有点偏大，不过适合看电影，其他应该还可以,positive,neutral,,
房子还凑合，但是硬件不行，不象4星酒店，服务还可以,positive,neutral,,
苹果不大，不过便宜一块多一个，但是重要的有烂果，不止两个！第一次开会员在京东买水果的经历，图便宜，就还可以接受！,positive,neutral,,
年份应该长了，面积较小，早餐一般，服务没啥。一般般，性价比不高。只是为了到贵阳北站高铁五公里多点，否则不会选择。,negative,neutral,,
位置还蛮方便 但酒店有虫在酒店提供的毛巾上... 环境一般 不像五星级的标准 不过酒店的自助餐很难吃 总体一般般吧,negative,neutral,,
一般般的一般般，性价比太低，凑合住住可以选择,negative,neutral,,
一般般 性价比还算可以的离万达广场比较近,negative,neutral,,
待机长，是彩屏机不能比的。信号还可以。200个机身电话加上卡的450个的电话簿，一般是够用，就是只能储存一个电话是不方便。,positive,neutral,,
包装并没有像他们所说的一样。整体还可以，晚上用了一下、洗发水很希。跟我之前用的有点不一样 ，帮我是买到水货，不过呢，习惯好评,positive,neutral,,
完全用做看电视剧而已。还可以啦 电不怎么耐用。送货的人员态度赞赞的。性价比还可以吧。毕竟价格在 不可以当电话用的哟 触屏一般般,positive,neutral,,
没有坏的，还可以吧，一般般，嘻嘻,positive,neutral,,
说实话质量一般，不过样式还可以。,positive,neutral,,
一般般。个头很小，新鲜度还可以,negative,neutral,,
酒店实在是太一般，经济不宽裕的可以选择，位置很好，服务还可以，就是装修太老旧，卫生一般，小院子只不过是放了几盆绿植罢了，以后不会再去,negative,neutral,,
一般般，临时睡一晚还可以考虑,negative,neutral,,
起球，一般般 不过很便宜啊,negative,neutral,,
"整体还可以，有接送机的，早上起来送机的巴士根本不够用，希望以后能改善下，到节假日接送机的大巴能多几辆,房间性价比有点高，早餐不够丰盛。",negative,neutral,,
键盘面板也是钢琴烤漆的，亮晶晶的很漂亮，但容易留指纹；不过女孩子一般都爱干净，常洗手，常擦拭也就无所谓了，还可以养成勤洗手的好习惯，哈哈,negative,neutral,,
"房间清洁,服务完善,而且价格还可以.只是位置稍微不太好找,不过开车的话也无所谓了,好象广元的路也实在太难找了,比如去皇泽寺我都绕到了村里去了.",positive,neutral,,
还可以，我住的标间368元，卫生间很大，设施比较齐全，热水器有的，床虽然不是大床但是软硬刚好合适，睡了个好觉。但有按摩小姐打骚扰电话，不过也属正常。,positive,neutral,,
商品包装精美，但是外包装不咋的，有点破损，不过平板还好，只是指纹建有一点不平，左边低一点，右边高一点，安卓七用着还是流畅更新后就只有21个g内存了。,positive,neutral,,
服务还可以，硬件条件一般般，十分的吵，想睡个好觉的千万别住；火车站早已经搬家，坐火车也不方便，倒是晚上饿了吃东西很方便。呵呵，我只住了一晚就跑了。。。,negative,neutral,,
比较重，原装包装进去的时候很挤。音响没有想象中的好，屏幕确实06年第一周的，色彩一般般，赶不上现在的LED，不过还行。sever 2003驱动装不全。,negative,neutral,,
整体还算满意，唯一不好的就是（不知道是包装问题还是物流问题）我拆开后有一瓶是漏的，如果是快递摔的应该瓶身会破，但是这是从瓶口处漏出。忘以后包装货物前请仔细检查。,negative,neutral,,
第二次入住。嗯，老实说，中规中矩吧，没有特别好，也没发现什么不好。补充点评 2008年3月5日 ： 对，电梯要查房卡才能使用，稍有点麻烦，不过酒店管理，可以理解,positive,neutral,,
"酒店位置还可以,比较静,是个住宅区,房间是在别墅里,看上去别墅也有些时日了.房间设施还行,就是价格贵了点,468的大床间有点贵.其余也没有什么特别印象.一般般吧",positive,neutral,,
只要包里放得下，大屏手机也是很好的，虽然只是备用通话功能，插个上网卡用起来也很舒服。看电影和电子书更不用说，照相么，毕竟便宜了，效果一般般吧（我很认真，我爱我所选）,positive,neutral,,
因为是跟着老妈看这些保健书的，家里关于求医不如求已系列的书也有好几本，而对这一本书的评价只能说是一般般咧。不过读书总会发现一些有用的东西吧，书中有少许方法还是实用的。,negative,neutral,,
在网上当的驱动程序，不过明显不如红旗的炫！不过自己不玩什么大游戏，只是看看片，上上网，足够用了！物有所值吧。不会装程序的同志们可以上网搜一下就能找到怎么安装了。不算麻烦。,positive,neutral,,
来长春之前，查阅了携程的很多酒店评分，感觉这个还算不错的，但是入住之后感觉很失望：1、房间门坏了；2、空调不好；3、房间陈旧；4、服务一般。。。。总之性价比很低，早餐还算可以。,negative,neutral,,
花园式酒店，很安静，里面都是一幢幢矮楼，没有电梯。订了经济标准间，免费升级到了行政间，房间设施很一般，不过还算挺干净的。房间送水果和报纸，服务非常好，无论是门童和前台服务都很好。,positive,neutral,,
"有点重!虽说我很壮,但是背着也费力!尤其是单肩包,又买了个双肩包!还算可以!不过热天就是背着热!直接扔家里了!再也没带过!刚开始还好!用了三天后开始风扇开始有小噪音了!影响心情!",negative,neutral,,
住的豪华标间，房间不大，设施还可以，液晶电视，同时做为电脑显示器，不过设计有问题，使用不太方便，无线键盘不太好用。总体还行，没有住过其他酒店，性价比无法评论。早饭一般，旋转餐厅，选择比较少。,positive,neutral,,
